subscription_name,resource_group,name,type,region,environment,owner,cost_center,criticality,tags,notes
NWH-Production,rg-nwh-prod-monitoring-eastus,ai-nwh-prod-001,Microsoft.Insights/components,eastus,Production,r.kim@northwindhealth.fake,CC-4000,Medium,"env=prod;app=shared;owner=r.kim;costcenter=CC-4000;data_classification=Internal;lifecycle=active",Shared App Insights - high ingestion volume
NWH-Production,rg-nwh-prod-monitoring-eastus,log-nwh-prod-001,Microsoft.OperationalInsights/workspaces,eastus,Production,r.kim@northwindhealth.fake,CC-4000,Medium,"env=prod;app=shared;owner=r.kim;costcenter=CC-4000;data_classification=Internal;lifecycle=active",Log Analytics workspace - 90 day retention
NWH-Production,rg-nwh-prod-network-eastus,vnet-nwh-prod-eastus-001,Microsoft.Network/virtualNetworks,eastus,Production,m.thompson@northwindhealth.fake,CC-4000,Critical,"env=prod;app=shared;owner=m.thompson;costcenter=CC-4000;data_classification=Internal;lifecycle=active",Production VNet - 10.1.0.0/16
NWH-Production,rg-nwh-prod-network-eastus,snet-nwh-prod-web,Microsoft.Network/virtualNetworks/subnets,eastus,Production,m.thompson@northwindhealth.fake,CC-4000,High,"env=prod;app=shared;owner=m.thompson;costcenter=CC-4000",Web tier subnet - 10.1.1.0/24
NWH-Production,rg-nwh-prod-network-eastus,snet-nwh-prod-api,Microsoft.Network/virtualNetworks/subnets,eastus,Production,m.thompson@northwindhealth.fake,CC-4000,High,"env=prod;app=shared;owner=m.thompson;costcenter=CC-4000",API tier subnet - 10.1.2.0/24
NWH-Production,rg-nwh-prod-network-eastus,snet-nwh-prod-data,Microsoft.Network/virtualNetworks/subnets,eastus,Production,m.thompson@northwindhealth.fake,CC-4000,Critical,"env=prod;app=shared;owner=m.thompson;costcenter=CC-4000",Data tier subnet - 10.1.3.0/24
NWH-Production,rg-nwh-prod-network-eastus,pep-nwh-sql-prod-001,Microsoft.Network/privateEndpoints,eastus,Production,m.thompson@northwindhealth.fake,CC-4000,Critical,"env=prod;app=shared;owner=m.thompson;costcenter=CC-4000",Private endpoint for SQL Server
NWH-Production,rg-nwh-prod-network-eastus,pep-nwh-storage-prod-001,Microsoft.Network/privateEndpoints,eastus,Production,m.thompson@northwindhealth.fake,CC-4000,High,"env=prod;app=shared;owner=m.thompson;costcenter=CC-4000",Private endpoint for patient docs storage
NWH-Production,rg-nwh-prod-network-eastus,pep-nwh-kv-prod-001,Microsoft.Network/privateEndpoints,eastus,Production,m.thompson@northwindhealth.fake,CC-4000,Critical,"env=prod;app=shared;owner=m.thompson;costcenter=CC-4000",Private endpoint for Key Vault
NWH-Production,rg-nwh-prod-containers-eastus,acr-nwh-prod-001,Microsoft.ContainerRegistry/registries,eastus,Production,l.garcia@northwindhealth.fake,CC-4500,High,"env=prod;app=shared;owner=l.garcia;costcenter=CC-4500;data_classification=Internal;lifecycle=active",Container registry - Premium SKU
NWH-Production,rg-nwh-prod-containers-eastus,aks-nwh-prod-001,Microsoft.ContainerService/managedClusters,eastus,Production,l.garcia@northwindhealth.fake,CC-4500,High,"env=prod;app=microservices;owner=l.garcia;costcenter=CC-4500;data_classification=Internal;lifecycle=active",AKS cluster - 3 nodes - low utilization
NWH-Development,rg-nwh-dev-web-eastus,app-nwh-portal-dev-001,Microsoft.Web/sites,eastus,Development,j.martinez@northwindhealth.fake,CC-4100,Low,"env=dev;app=patient-portal;owner=j.martinez;costcenter=CC-4100;data_classification=Test;lifecycle=active",Dev patient portal - runs 24/7
NWH-Development,rg-nwh-dev-web-eastus,plan-nwh-portal-dev-001,Microsoft.Web/serverfarms,eastus,Development,j.martinez@northwindhealth.fake,CC-4100,Low,"env=dev;app=patient-portal;owner=j.martinez;costcenter=CC-4100",Dev App Service Plan - B2 tier
NWH-Development,rg-nwh-dev-api-eastus,app-nwh-portalapi-dev-001,Microsoft.Web/sites,eastus,Development,j.martinez@northwindhealth.fake,CC-4100,Low,"env=dev;app=patient-portal;owner=j.martinez;costcenter=CC-4100;data_classification=Test;lifecycle=active",Dev API - runs 24/7 unnecessarily
NWH-Development,rg-nwh-dev-api-eastus,func-nwh-notifications-dev-001,Microsoft.Web/sites,eastus,Development,s.chen@northwindhealth.fake,CC-4200,Low,"env=dev;app=notifications;owner=s.chen;costcenter=CC-4200;data_classification=Test;lifecycle=active",Dev notification function
NWH-Development,rg-nwh-dev-data-eastus,sql-nwh-main-dev-001,Microsoft.Sql/servers,eastus,Development,d.patel@northwindhealth.fake,CC-4300,Low,"env=dev;app=shared;owner=d.patel;costcenter=CC-4300;data_classification=Test;lifecycle=active",Dev SQL Server
NWH-Development,rg-nwh-dev-data-eastus,sqldb-nwh-patients-dev,Microsoft.Sql/servers/databases,eastus,Development,d.patel@northwindhealth.fake,CC-4300,Low,"env=dev;app=patient-portal;owner=d.patel;costcenter=CC-4300;data_classification=Test;lifecycle=active",Dev patient database - S2 tier
NWH-Development,rg-nwh-dev-data-eastus,stnwhdevdata001,Microsoft.Storage/storageAccounts,eastus,Development,d.patel@northwindhealth.fake,CC-4300,Low,"env=dev;app=shared;owner=d.patel;costcenter=CC-4300;data_classification=Test;lifecycle=active",Dev storage account
NWH-Development,rg-nwh-dev-security-eastus,kv-nwh-dev-001,Microsoft.KeyVault/vaults,eastus,Development,m.thompson@northwindhealth.fake,CC-4000,Medium,"env=dev;app=shared;owner=m.thompson;costcenter=CC-4000;data_classification=Test;lifecycle=active",Dev Key Vault
NWH-Development,rg-nwh-dev-monitoring-eastus,ai-nwh-dev-001,Microsoft.Insights/components,eastus,Development,r.kim@northwindhealth.fake,CC-4000,Low,"env=dev;app=shared;owner=r.kim;costcenter=CC-4000;data_classification=Test;lifecycle=active",Dev App Insights
NWH-Shared-Services,rg-nwh-shared-identity-eastus,id-nwh-portal-prod,Microsoft.ManagedIdentity/userAssignedIdentities,eastus,Production,m.thompson@northwindhealth.fake,CC-4000,High,"env=prod;app=patient-portal;owner=m.thompson;costcenter=CC-4000",Managed identity for portal apps
NWH-Shared-Services,rg-nwh-shared-identity-eastus,id-nwh-functions-prod,Microsoft.ManagedIdentity/userAssignedIdentities,eastus,Production,m.thompson@northwindhealth.fake,CC-4000,High,"env=prod;app=notifications;owner=m.thompson;costcenter=CC-4000",Managed identity for function apps
NWH-Shared-Services,rg-nwh-shared-dns-eastus,pdnsz-privatelink-sql,Microsoft.Network/privateDnsZones,eastus,Production,m.thompson@northwindhealth.fake,CC-4000,High,"env=prod;app=shared;owner=m.thompson;costcenter=CC-4000",Private DNS zone for SQL
NWH-Shared-Services,rg-nwh-shared-dns-eastus,pdnsz-privatelink-blob,Microsoft.Network/privateDnsZones,eastus,Production,m.thompson@northwindhealth.fake,CC-4000,High,"env=prod;app=shared;owner=m.thompson;costcenter=CC-4000",Private DNS zone for blob storage
NWH-Shared-Services,rg-nwh-shared-dns-eastus,pdnsz-privatelink-vault,Microsoft.Network/privateDnsZones,eastus,Production,m.thompson@northwindhealth.fake,CC-4000,High,"env=prod;app=shared;owner=m.thompson;costcenter=CC-4000",Private DNS zone for Key Vault
NWH-Production,rg-nwh-legacy-eastus,vm-nwh-legacy-001,Microsoft.Compute/virtualMachines,eastus,Production,UNKNOWN,UNKNOWN,Medium,"env=prod;lifecycle=review",Legacy VM - no documented owner
NWH-Production,rg-nwh-legacy-eastus,disk-nwh-legacy-001,Microsoft.Compute/disks,eastus,Production,UNKNOWN,UNKNOWN,Low,"env=prod;lifecycle=review",Orphaned disk - VM deleted
NWH-Production,rg-nwh-legacy-eastus,pip-nwh-legacy-001,Microsoft.Network/publicIPAddresses,eastus,Production,UNKNOWN,UNKNOWN,Low,"env=prod;lifecycle=review",Orphaned public IP - unattached
NWH-Production,rg-nwh-legacy-eastus,snap-nwh-backup-20250115,Microsoft.Compute/snapshots,eastus,Production,UNKNOWN,UNKNOWN,Low,"env=prod;lifecycle=review",Old snapshot - 6+ months old
NWH-Production,rg-nwh-legacy-eastus,nic-nwh-legacy-001,Microsoft.Network/networkInterfaces,eastus,Production,UNKNOWN,UNKNOWN,Low,"env=prod;lifecycle=review",Orphaned NIC - VM deleted
NWH-Development,rg-nwh-test-temp-eastus,app-nwh-loadtest-001,Microsoft.Web/sites,eastus,Development,a.wong@northwindhealth.fake,CC-4100,Low,"env=test;app=loadtest;owner=a.wong;costcenter=CC-4100;lifecycle=temporary",Load test app - should be deleted
NWH-Development,rg-nwh-test-temp-eastus,plan-nwh-loadtest-001,Microsoft.Web/serverfarms,eastus,Development,a.wong@northwindhealth.fake,CC-4100,Low,"env=test;app=loadtest;owner=a.wong;costcenter=CC-4100;lifecycle=temporary",Load test plan - P1v2 - expensive for temp use
